movieId,title,genres,year,genre_(no genres listed),genre_Action,genre_Adventure,genre_Animation,genre_Children,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Fantasy,genre_Film-Noir,genre_Horror,genre_IMAX,genre_Musical,genre_Mystery,genre_Romance,genre_Sci-Fi,genre_Thriller,genre_War,genre_Western,year_norm,num_ratings_norm,avg_rating_norm,bayesian_norm,rating_std_norm,svd_0,svd_1,svd_2,svd_3,svd_4,svd_5,svd_6,svd_7,svd_8,svd_9,svd_10,svd_11,svd_12,svd_13,svd_14,svd_15,svd_16,svd_17,svd_18,svd_19,svd_20,svd_21,svd_22,svd_23,svd_24,svd_25,svd_26,svd_27,svd_28,svd_29,svd_30,svd_31
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1995,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.801724137931032,0.6534954407294833,0.7841860465116279,0.7781263788972317,0.2623709154367147,0.8079882477145252,-0.13692064495308123,-0.3217944323895673,-0.006158051520335794,0.04049223805442209,-0.10280793046167869,-0.1890017434991463,-0.046924893183990596,-0.024939127954237736,-0.030459649676640763,0.06565337029068019,-0.05112433794706685,0.1477984759042419,0.029328341497290317,-0.0886470727233871,-0.061321569107772034,0.007631193680441156,-0.018965962075968155,-0.03770163210139969,0.02807317854892596,-0.2513670106459619,-0.12473108106902642,0.0598898207022256,0.04793029575462837,0.04263745956096421,-0.018201849581058804,-0.01404651384754616,-0.0565066717184687,-0.027628997034487148,0.029762938153374042,0.13013238312903233,-0.14321480664635014
2,Jumanji (1995),Adventure|Children|Fantasy,1995,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.801724137931032,0.3343465045592705,0.6863636363636363,0.6834454075502341,0.2770958174938985,0.7619657758916123,-0.017679303970393075,-0.4019884355567723,0.31948484846223446,0.1136708341578751,0.019107008922110882,-0.1612867806072397,-0.14139385894935505,0.12566776859394577,-0.008289913531247538,0.10181137484667549,-0.004793419331917385,-0.09509156455167647,0.07410296373469148,0.08907365846031448,0.06045844292020403,0.004536283925650154,0.022462299607737,0.057232589115568076,-0.0123709443346069,0.020022837094928584,0.02335302786855087,0.065462080195304,0.10990027281998656,0.074042343659722,0.012674944391399705,0.09346115391979132,-0.0612867905721152,0.00024488922053466896,0.01759922145280509,0.022820475205732767,0.059480935840716634
3,Grumpier Old Men (1995),Comedy|Romance,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.801724137931032,0.1580547112462006,0.6519230769230769,0.6520172780283862,0.3314987782131323,0.528915872211922,-0.35543850870366744,-0.21405247481812167,0.3969744602019143,-0.0014855094097804536,0.048692720435668746,0.08846665343390357,-0.034013631081698976,-0.20343007022625398,-0.1170168975546294,0.12219622655148153,0.11365155935114339,-0.10982303322900543,-0.03158095386284825,-0.06342654726896815,0.1033437640238694,0.03129227812399712,-0.03627356059835501,-0.05780494802141819,0.1721509241871067,-0.2561942120807372,0.055053537074595336,-0.02306251469955353,0.20077084493864872,-0.08999339444110521,-0.06942916321710063,-0.10791557919053907,-0.11737692530030583,0.1066065259364007,0.07698828904611733,0.2605664703833673,0.012340292785329792
4,Waiting to Exhale (1995),Comedy|Drama|Romance,1995,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.801724137931032,0.02127659574468085,0.4714285714285714,0.5795223727547463,0.267810597562831,0.1992633648730626,-0.354311819500344,-0.4084271729343025,0.1022863043485614,0.3147802863022002,0.37538893577316,-0.09185528685686054,-0.22600682684323964,-0.0338953662559368,-0.006012267169750726,0.08357284642715929,-0.05090399003135845,-0.014539067427364665,-0.04212046171585021,-0.10349941091315264,0.009496348628978572,0.03016134741536461,0.0809842925359718,-0.14164270229384335,0.166843857028438,-0.2676708733916914,0.041362208775429246,-0.10094891757826811,0.3079350851589801,-0.018332390840837112,0.05120337766723276,0.012859379276710893,-0.08871683933979838,0.22750654233599818,0.16350441030988247,-0.10533058984367441,0.009552513147487356
5,Father of the Bride Part II (1995),Comedy,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801724137931032,0.14893617021276595,0.6142857142857143,0.6209585923170967,0.28508896885816026,0.44893159577930897,-0.1976981711926017,-0.3474125167766339,0.32653008661494387,0.2746684637980765,0.12373837841660376,-0.09595423039029494,-0.09688124295098406,-0.09801083253763855,-0.09057794421924098,0.023796673719896,0.14108586414722718,0.009285215527945553,0.034121354433947176,-0.11007182680326773,-0.0529254001246477,0.027718449196908173,-0.04958452266366193,-0.163562206324553,0.15298675351302474,-0.3129577670751592,-0.04315061056812952,-0.1349749497779329,0.3233577218908131,0.06010268751377985,-0.02397127055637347,-0.2172555055613017,-0.05273256798142583,0.1657341105563463,0.028010927775813984,0.08384395466559841,0.05333535655441091
6,Heat (1995),Action|Crime|Thriller,1995,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.801724137931032,0.3100303951367781,0.7892156862745099,0.7765982176436808,0.2568288580692803,0.6829451658898522,-0.2219967817253294,-0.21190364042878282,-0.06156989543489194,-0.20076162206922607,0.23868122194741703,0.1507443826772655,0.11460383671806737,0.12058562098782798,-0.009501119078595003,-0.16315977759601705,-0.14189580506147664,0.012167094889814684,0.02699216650228295,0.12355989942931796,-0.02892280347588863,0.15399355102659193,-0.07911952215969202,-0.07292779357306808,0.08377204791867472,-0.21933386737856028,0.09140885517524575,-0.14984507810422365,0.18031196532292257,0.07872767690109125,-0.058650545808436386,-0.19571768949962998,0.13347450725195167,0.03984251626057753,-0.007874024099656507,0.05180298166869509,0.016727148874288698
7,Sabrina (1995),Comedy|Romance,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.801724137931032,0.1641337386018237,0.6370370370370371,0.6395264131691105,0.30721777159846586,0.4258451021033064,-0.3650637634662969,-0.2597126129687593,0.26468419112460473,0.32634285665548535,0.2021427536507741,-0.033246303020645476,0.009216289974882337,-0.002414392200243661,0.08412915914771504,0.07683238264616855,0.04421137565080341,0.05379263187146062,-0.139116780071141,0.02777802049564997,0.051367768718312876,0.08669758058752658,-0.1035753871449158,-0.24436366474867763,0.06352563501499667,-0.3414604351827406,-0.012616471836379735,-0.11916496835237182,0.15747141099883485,0.04828397072618674,0.0757668691831957,-0.14026376561883877,-0.18310882930088618,0.1736424051673593,0.08992161555199786,0.12017804681964614,-0.08381633080800507
8,Tom and Huck (1995),Adventure|Children,1995,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801724137931032,0.0243161094224924,0.575,0.6187431245256492,0.3538650287239357,0.34130857075498094,-0.12996830310420235,-0.08551339777626972,0.46429691224499137,0.12494756025831735,0.3906346272210779,0.19571910528025538,0.06768626915591026,-0.10007232005839639,-0.0945368791767195,0.23273369031656327,-0.2790127389567107,-0.16605883031920438,0.027658957348852133,-0.03760533596847959,0.056868926926289996,-0.13996386388148335,0.09051011193047641,-0.006462264765873093,0.10156143319127678,-0.23893080845093886,-0.2670181515104093,-0.0018280520063968665,-0.014870247981200062,0.030633981639163452,0.029107582093616788,-0.021407446808055015,-0.11934685038626443,-0.15461355604860136,0.14192462055833754,-0.14299834312673768,0.030831984961073627
9,Sudden Death (1995),Action,1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801724137931032,0.0486322188449848,0.625,0.6358101819193809,0.3063121944908938,0.1504304461912531,-0.16502606665960765,-0.19896960575112177,0.12279885673113704,-0.08228363164528427,0.1181980043040602,0.03915081207691854,0.03253088448995865,0.017343791824390765,0.016603298093163167,0.06441163099833105,0.07221642277715004,0.03631468448117449,-0.09681884304684424,0.0843108888527993,-0.0393160759431248,0.21821274143064673,-0.07475063264717982,-0.2952331094509568,0.12696719240456159,-0.5811907414087703,-0.14058526771673543,-0.1351205549847862,0.2648193975387889,0.10451797727702014,0.042608694995142526,-0.22300069756978178,-0.14003483042229178,0.2443245902293138,-0.017719974915750312,0.3029849743247658,-0.08087319614086332
10,GoldenEye (1995),Action|Adventure|Thriller,1995,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.801724137931032,0.4012158054711246,0.6992424242424242,0.6958370871853646,0.27007729314657547,0.6956657528996516,-0.2460364417303694,-0.5074164673687942,0.21881458136675414,-0.12867439244462153,0.06436941837947031,0.07784626480096223,0.008361856831673894,0.07436828989719675,0.027824542714325697,-0.08942439655057258,0.04495102905990552,-0.04643783904923917,0.0727581286700621,-0.05799958949023932,-0.069647370460551,0.04469075973101313,0.07083080135172379,-0.12003461474417516,0.01693534124602371,0.17955015849997363,-0.04829671368150169,-0.05976432093694405,-0.08096512977032186,-0.025392147747383745,-0.0034330087151885668,-0.055597165042839736,0.05857282786226237,-0.11349546830749278,-0.010032977476327311,-0.022398307047894778,-0.06539945331812587
