userId,avg_rating,rating_std,num_ratings,min_rating,max_rating,first_rating_time,last_rating_time,rating_range,rating_consistency,user_activity_days,ratings_per_day,avg_(no genres listed),avg_Action,avg_Adventure,avg_Animation,avg_Children,avg_Comedy,avg_Crime,avg_Documentary,avg_Drama,avg_Fantasy,avg_Film-Noir,avg_Horror,avg_IMAX,avg_Musical,avg_Mystery,avg_Romance,avg_Sci-Fi,avg_Thriller,avg_War,avg_Western,count_(no genres listed),count_Action,count_Adventure,count_Animation,count_Children,count_Comedy,count_Crime,count_Documentary,count_Drama,count_Fantasy,count_Film-Noir,count_Horror,count_IMAX,count_Musical,count_Mystery,count_Romance,count_Sci-Fi,count_Thriller,count_War,count_Western,num_tags,tag_diversity,high_ratings_ratio,low_ratings_ratio,extreme_ratings_ratio
1,4.366379310344827,0.8000480467733436,232,1.0,5.0,964980499,965719662,4.0,1.1110517972734704,8.555127314814815,24.280157904363445,0.0,4.322222222222222,4.3882352941176475,4.689655172413793,4.5476190476190474,4.27710843373494,4.355555555555555,0.0,4.529411764705882,4.297872340425532,5.0,3.4705882352941178,0.0,4.681818181818182,4.166666666666667,4.3076923076923075,4.225,4.1454545454545455,4.5,4.285714285714286,0.0,90.0,85.0,29.0,42.0,83.0,45.0,0.0,68.0,47.0,1.0,17.0,0.0,22.0,18.0,26.0,40.0,55.0,22.0,7.0,0.0,0.0,0.8620689655172413,0.02586206896551724,0.5387931034482759
2,3.9482758620689653,0.8056145345791144,29,2.0,5.0,1445714835,1445715340,3.0,1.104222560280298,0.005844907407407407,28.831482653472182,0.0,3.9545454545454546,4.166666666666667,0.0,0.0,4.0,3.8,4.333333333333333,3.8823529411764706,0.0,0.0,3.0,3.75,0.0,4.0,4.5,3.875,3.7,4.5,3.5,0.0,11.0,3.0,0.0,0.0,7.0,10.0,3.0,17.0,0.0,0.0,1.0,4.0,0.0,2.0,1.0,4.0,10.0,1.0,1.0,9.0,9.0,0.6551724137931034,0.034482758620689655,0.20689655172413793
3,2.4358974358974357,2.0906417019771424,39,0.5,5.0,1306463323,1306464293,4.5,0.45648724713742994,0.011226851851851852,38.5670138491473,0.0,3.5714285714285716,2.727272727272727,0.5,0.5,1.0,0.5,0.0,0.75,3.375,0.0,4.6875,0.0,0.5,5.0,0.5,4.2,4.142857142857143,0.5,0.0,0.0,14.0,11.0,4.0,5.0,9.0,2.0,0.0,16.0,4.0,0.0,8.0,0.0,1.0,1.0,5.0,15.0,7.0,5.0,0.0,0.0,0.0,0.41025641025641024,0.5384615384615384,0.2564102564102564
4,3.5555555555555554,1.3142038589753633,216,1.0,5.0,945078428,1007574542,4.0,0.7071116329187027,723.3346527777778,0.29820470299419416,0.0,3.32,3.6551724137931036,4.0,3.8,3.5096153846153846,3.814814814814815,4.0,3.4833333333333334,3.6842105263157894,4.0,4.25,3.0,4.0,3.4782608695652173,3.3793103448275863,2.8333333333333335,3.5526315789473686,3.5714285714285716,3.8,0.0,25.0,29.0,6.0,10.0,104.0,27.0,2.0,120.0,19.0,4.0,4.0,1.0,16.0,23.0,58.0,12.0,38.0,7.0,10.0,0.0,0.0,0.5925925925925926,0.22685185185185186,0.4027777777777778
5,3.6363636363636362,0.9904405665441197,44,1.0,5.0,847434747,847435337,4.0,0.9170605264340553,0.006828703703703704,43.701574893665935,0.0,3.111111111111111,3.25,4.333333333333333,4.111111111111111,3.466666666666667,3.8333333333333335,0.0,3.8,4.142857142857143,0.0,3.0,3.6666666666666665,4.4,4.0,3.090909090909091,2.5,3.5555555555555554,3.3333333333333335,3.0,0.0,9.0,8.0,6.0,9.0,15.0,12.0,0.0,25.0,7.0,0.0,1.0,3.0,5.0,1.0,11.0,2.0,9.0,3.0,2.0,0.0,0.0,0.5227272727272727,0.09090909090909091,0.25
6,3.4936305732484074,0.8506476787198631,314,1.0,5.0,845553109,845556915,4.0,1.051914418332767,0.044050925925925924,300.7516129747467,0.0,3.609375,3.893617021276596,4.071428571428571,3.617021276595745,3.37007874015748,3.2857142857142856,0.0,3.6142857142857143,3.5384615384615383,2.5,3.263157894736842,4.666666666666667,4.166666666666667,3.7333333333333334,3.6142857142857143,3.4761904761904763,3.5441176470588234,3.5833333333333335,3.8181818181818183,0.0,64.0,47.0,14.0,47.0,127.0,35.0,0.0,140.0,26.0,2.0,19.0,3.0,12.0,15.0,70.0,21.0,68.0,12.0,11.0,0.0,0.0,0.45222929936305734,0.06369426751592357,0.14968152866242038
7,3.2302631578947367,1.3295938469468669,152,0.5,5.0,1106635416,1176181731,4.5,0.6994993732909978,804.9342013888889,0.1886010045709118,0.0,3.2578125,3.314814814814815,3.392857142857143,3.2,3.163265306122449,3.3076923076923075,0.0,3.1315789473684212,3.0652173913043477,3.25,4.0,2.4545454545454546,3.6666666666666665,3.1785714285714284,2.65,3.1547619047619047,3.4302325581395348,3.2916666666666665,1.5,0.0,64.0,54.0,14.0,15.0,49.0,26.0,0.0,57.0,23.0,2.0,5.0,11.0,9.0,14.0,30.0,42.0,43.0,12.0,1.0,1.0,1.0,0.4605263157894737,0.26973684210526316,0.16447368421052633
8,3.574468085106383,0.972327571638279,47,1.0,5.0,839463422,839464076,4.0,0.9325508608085322,0.007569444444444445,46.64690881521814,0.0,3.3333333333333335,3.5454545454545454,5.0,4.25,3.2083333333333335,3.888888888888889,0.0,3.789473684210526,3.25,0.0,4.5,4.5,5.0,4.0,3.5,3.25,3.75,3.6666666666666665,3.0,0.0,12.0,11.0,1.0,4.0,24.0,9.0,0.0,19.0,4.0,0.0,2.0,2.0,1.0,3.0,14.0,4.0,16.0,3.0,2.0,0.0,0.0,0.46808510638297873,0.0851063829787234,0.23404255319148937
9,3.260869565217391,1.2725264914718217,46,1.0,5.0,1044656650,1044657338,4.0,0.728583387070114,0.007962962962962963,45.636597464633475,0.0,3.125,3.8,4.0,4.0,3.6666666666666665,3.142857142857143,0.0,3.4285714285714284,5.0,4.0,1.8,3.0,3.0,4.0,3.1666666666666665,3.0,2.5454545454545454,3.5,4.0,0.0,8.0,10.0,1.0,1.0,15.0,7.0,0.0,21.0,2.0,1.0,5.0,1.0,1.0,3.0,6.0,8.0,11.0,2.0,1.0,0.0,0.0,0.4782608695652174,0.2608695652173913,0.30434782608695654
10,3.2785714285714285,1.1757003554462786,140,0.5,5.0,1455301553,1455619275,4.5,0.7838831397441837,3.677337962962963,29.931555322402644,0.0,3.5,3.5806451612903225,3.8666666666666667,3.607142857142857,3.2658227848101267,3.1153846153846154,0.0,3.1527777777777777,3.4411764705882355,0.0,1.75,3.361111111111111,3.3333333333333335,2.1666666666666665,3.3333333333333335,2.0,3.076923076923077,3.75,0.0,0.0,26.0,31.0,15.0,14.0,79.0,13.0,0.0,72.0,17.0,0.0,2.0,18.0,9.0,3.0,78.0,5.0,13.0,4.0,0.0,0.0,0.0,0.35714285714285715,0.15,0.14285714285714285
